날짜,방문자수,PV,주문건수,주문전환율(%),순결제금액,결제금액
2026-05-01,"15,230","45,230","22,615",50.00,"23,400,000","24,500,000"
2026-05-02,"16,890","48,920","21,004",42.95,"27,800,000","29,100,000"
2026-05-03,"14,120","42,150","23,163",54.94,"19,200,000","20,500,000"
2026-05-04,"19,450","56,780","27,413",48.27,"31,500,000","33,200,000"
2026-05-05,"12,980","38,420","21,533",56.07,"16,800,000","17,900,000"
2026-05-06,"21,340","62,340","36,808",59.01,"42,300,000","44,800,000"
2026-05-07,"24,230","71,230","28,614",40.17,"51,200,000","54,100,000"
2026-05-08,"16,890","49,560","27,279",55.02,"25,600,000","27,000,000"
2026-05-09,"19,120","55,830","26,544",47.55,"32,100,000","33,900,000"
2026-05-10,"16,450","48,220","25,477",52.79,"24,700,000","26,100,000"
2026-05-11,"20,230","59,340","32,637",55.00,"35,800,000","37,600,000"
2026-05-12,"23,120","67,890","31,481",46.38,"48,200,000","50,800,000"
2026-05-13,"24,680","72,140","40,319",55.88,"54,500,000","57,300,000"
2026-05-14,"17,560","51,260","22,607",44.12,"27,900,000","29,400,000"
2026-05-15,"16,120","46,890","24,944",53.16,"21,500,000","22,800,000"
2026-05-16,"22,010","64,230","35,327",54.98,"39,200,000","41,500,000"
2026-05-17,"25,780","75,320","32,786",43.53,"56,800,000","59,900,000"
2026-05-18,"20,120","58,940","27,262",46.26,"33,400,000","35,200,000"
2026-05-19,"17,980","52,670","28,941","54.91","29,100,000","30,800,000"
2026-05-20,"16,340","48,120","21,654",45.00,"24,200,000","25,600,000"
2026-05-21,"21,650","63,450","34,263",54.00,"37,900,000","40,100,000"
2026-05-22,"26,890","78,540","42,411",53.96,"59,200,000","62,500,000"
2026-05-23,"24,450","71,280","30,348",42.58,"51,600,000","54,300,000"
2026-05-24,"19,010","55,630","30,597",54.99,"31,200,000","33,000,000"
2026-05-25,"17,120","49,870","22,442",45.00,"27,500,000","29,100,000"
2026-05-26,"20,890","61,240","27,256",44.52,"36,800,000","38,900,000"
2026-05-27,"23,670","69,530","37,640",54.13,"48,100,000","50,800,000"
2026-05-28,"25,560","74,920","41,968",56.03,"57,200,000","60,400,000"
2026-05-29,"18,120","53,240","23,427",43.97,"29,800,000","31,500,000"
2026-05-30,"16,340","47,890","24,768",51.70,"23,600,000","25,000,000"
2026-05-31,"22,450","65,780","33,647",51.13,"41,200,000","43,600,000"
2026-06-01,"27,120","79,340","45,142",56.88,"61,500,000","64,800,000"
2026-06-02,"20,120","58,920","22,308",37.86,"34,100,000","36,000,000"
2026-06-03,"17,890","52,140","28,656",54.97,"28,900,000","30,500,000"
2026-06-04,"22,010","64,530","35,816",55.49,"39,800,000","42,100,000"
